Año Indice,Cod Divipola Dpto,Departamento,Cod Divipola municipio,Municipio,Entidad Territorial,Ranking,"Índice de Madurez 
CTI","Índice
Capacidades","Índice
Resultados","Índice
Percepción"
2021,66,Risaralda,NA,NA,Gobernación De Risaralda,5,3.7,3.3,3.6,4.2
2021,54,"Norte De 
Santander",NA,NA,"Gobernación De Norte De 
Santander",6,3.7,4,3.6,3.4
2021,88,San Andrés,NA,NA,Gobernación De San Andrés,7,3.7,4.5,4.2,2.2
2021,13,Bolívar,NA,NA,Gobernación De Bolívar,8,3.5,3.7,3.9,2.9
2021,70,Sucre,NA,NA,Gobernación De Sucre,9,3.1,3.4,3.4,2.6
2021,68,Santander,NA,NA,Gobernación De Santander,10,3.1,2,3.7,3.6
2022,5,Antioquia,5001,Medellín,Alcaldia de Medellín,1,4,4.52,4.18,3.3
2022,73,Tolima,73001,Ibagué,Alcaldia de Ibagué,2,3.77,4.37,3.87,3.05
2022,68,Santander,68001,Bucaramanga,Alcaldia de Bucaramanga,3,3.7,3.73,4.11,3.26
2022,25,Cundinamarca,25758,Sopó,Alcaldia de Sopó,4,3.7,3.34,4.16,3.59
2022,76,Valle del Cauca,76001,Cali,Alcaldia de Cali,5,3.44,3.94,3.63,2.76
2022,54,Norte de Santander,54001,San José de Cúcuta,Alcaldia de San José de Cúcuta,6,3.29,3.8,3.17,2.9
2022,15,Boyacá,15516,Paipa,Alcaldia de Paipa,7,3.26,3.56,3.17,3.04
2022,25,Cundinamarca,25473,Mosquera,Alcaldia de Mosquera,8,3.18,2.92,3.35,3.28
2022,5,Antioquia,5321,Guatapé,Alcaldia de Guatapé,9,3.17,3.03,3.16,3.32
2022,54,Norte de Santander,54518,Pamplona,Alcaldia de Pamplona,10,3.1,2.65,3.47,3.18
2022,17,Caldas,17867,Victoria,Alcaldia de Victoria,11,3.09,2.92,2.8,3.56
2022,5,Antioquia,5856,Valparaíso,Alcaldia de Valparaíso,12,3.08,2.54,2.55,4.15
2022,15,Boyacá,15839,Tutazá,Alcaldia de Tutazá,13,3.07,2.93,2.53,3.75
2022,47,Magdalena,47001,Santa Marta,Alcaldia de Santa Marta,14,3.06,2.9,2.92,3.37
2022,68,Santander,68679,San Gil,Alcaldia de San Gil,15,3.04,3.27,2.76,3.08
2022,73,Tolima,73200,Coello,Alcaldia de Coello,16,3.02,2.79,2.06,4.21
2022,41,Huila,41020,Algeciras,Alcaldia de Algeciras,17,2.95,3.53,2.44,2.89
2022,50,Meta,50226,Cumaral,Alcaldia de Cumaral,18,2.94,2.38,3.06,3.39
2022,15,Boyacá,5368,Jericó,Alcaldia de Jericó,19,2.93,2.76,2.48,3.54
2022,41,Huila,41797,Tesalia,Alcaldía de Tesalia,20,2.87,2.84,2.48,3.28
2022,85,Casanare,85010,Aguazul,Alcaldía de Aguazul,21,2.8,2.67,2.76,2.98
2022,41,Huila,41551,Pitalito,Alcaldía de Pitalito,22,2.79,2.26,2.77,3.35
2022,5,Antioquia,5313,Granada,Alcaldía de Granada,23,2.72,2.03,2.81,3.31
2022,41,Huila,41872,Villavieja,Alcaldía de Villavieja,24,2.66,1.73,2.57,3.67
2022,15,Boyacá,15763,Sotaquirá,Alcaldía de Sotaquirá,25,2.57,2.44,2.17,3.1
2022,85,Casanare,85015,Chámeza,Alcaldía de Chámeza,26,2.54,2.49,2.06,3.08
2022,25,Cundinamarca,25035,Anapoima,Alcaldía de Anapoima,27,2.53,1.86,2.93,2.79
2022,8,Atlántico,8433,Malambo,Alcaldía de Malambo,28,2.49,2.13,2.9,2.45
2022,50,Meta,50124,Cabuyaro,Alcaldía de Cabuyaro,29,2.48,1.35,2.85,3.25
2022,66,Risaralda,66383,La Celia,Alcaldía de La Celia,30,2.47,1.42,2.61,3.37
2022,70,Sucre,70215,Corozal,Alcaldía de Corozal,31,2.36,1.67,2.65,2.76
2022,50,Meta,50110,Barranca de Upía,Alcaldía de Barranca de Upía,32,2.32,1.34,2.23,3.4
2022,73,Tolima,73030,Ambalema,Alcaldía de Ambalema,33,2.3,1.48,2.59,2.83
2022,15,Boyacá,15832,Tununguá,Alcaldía de Tununguá,34,2.29,1.15,2.35,3.38
2022,15,Boyacá,15185,Chitaraque,Alcaldía de Chitaraque,35,2.28,1.59,1.95,3.29
2022,68,Santander,68235,Carmen de Chucuri,Alcaldía de El Carmen de Chucurí,36,2.22,1.34,2.27,3.05
